date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:01	391/391	---M--	200	added ('OK')	image/svg+xml	etag:%22dd3649a251d6afba1ab640e7dbf2daee%22	https://next-sass-html.vercel.app/images/icons/dropbox.svg	./next-theme/next-sass-html.vercel.app/images/icons/dropbox.svg	(from https://next-sass-html.vercel.app/)
17:06:02	750/750	---M--	200	added ('OK')	image/svg+xml	etag:%22c4ee83389ae7f3eab84c72738a82bc0c%22	https://next-sass-html.vercel.app/images/icons/stripe-logo.svg	./next-theme/next-sass-html.vercel.app/images/icons/stripe-logo.svg	(from https://next-sass-html.vercel.app/)
17:06:03	4279174/4279174	---M--	200	added ('OK')	image/png	etag:%227851a65cc1616deb2f41b7c70fe42c10%22	https://next-sass-html.vercel.app/images/ns-img-579.png	./next-theme/next-sass-html.vercel.app/images/ns-img-579.png	(from https://next-sass-html.vercel.app/)
17:06:04	1203/1203	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a817a2730dfc2ba12a1345ea76d03e69%22	https://next-sass-html.vercel.app/images/icons/spotify-logo.svg	./next-theme/next-sass-html.vercel.app/images/icons/spotify-logo.svg	(from https://next-sass-html.vercel.app/)
17:06:04	871/871	---M--	200	added ('OK')	image/svg+xml	etag:%2248f96637a27e5eba6b1958b31d54620d%22	https://next-sass-html.vercel.app/images/icons/outreach-logo.svg	./next-theme/next-sass-html.vercel.app/images/icons/outreach-logo.svg	(from https://next-sass-html.vercel.app/)
17:06:05	1034/1034	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22eed56503fa4d302b1ad0d036e355856a%22	https://next-sass-html.vercel.app/images/icons/asana.svg	./next-theme/next-sass-html.vercel.app/images/icons/asana.svg	(from https://next-sass-html.vercel.app/)
17:06:07	1784/1784	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226ded7e72da1c884d25fe71ecddf60101%22	https://next-sass-html.vercel.app/images/icons/squarespace-logo.svg	./next-theme/next-sass-html.vercel.app/images/icons/squarespace-logo.svg	(from https://next-sass-html.vercel.app/)
17:06:10	1379691/1379691	---M--	200	added ('OK')	image/png	etag:%222405a17d878fa07e2beb80023c872a05%22	https://next-sass-html.vercel.app/images/ns-img-561.png	./next-theme/next-sass-html.vercel.app/images/ns-img-561.png	(from https://next-sass-html.vercel.app/)
17:06:15	1323950/1323950	---M--	200	added ('OK')	image/png	etag:%2292124ceedef64dfc297471e086804c26%22	https://next-sass-html.vercel.app/images/ns-img-576.png	./next-theme/next-sass-html.vercel.app/images/ns-img-576.png	(from https://next-sass-html.vercel.app/)
17:06:15	2425668/2425668	---M--	200	added ('OK')	image/png	etag:%2262ac3802d2b75999c36b4574ea5f4cfa%22	https://next-sass-html.vercel.app/images/ns-img-577.png	./next-theme/next-sass-html.vercel.app/images/ns-img-577.png	(from https://next-sass-html.vercel.app/)
17:06:17	1836480/1836480	---M--	200	added ('OK')	image/png	etag:%22eda8789b51355829414557988f5faa15%22	https://next-sass-html.vercel.app/images/ns-img-578.png	./next-theme/next-sass-html.vercel.app/images/ns-img-578.png	(from https://next-sass-html.vercel.app/)
17:06:19	2449651/2449651	---M--	200	added ('OK')	image/png	etag:%22821df829c919bf32352260db160904a7%22	https://next-sass-html.vercel.app/images/ns-img-575.png	./next-theme/next-sass-html.vercel.app/images/ns-img-575.png	(from https://next-sass-html.vercel.app/)
17:06:19	1104621/1104621	---M--	200	added ('OK')	image/png	etag:%22be5166624b9b8987fb8e2c48a1db758f%22	https://next-sass-html.vercel.app/images/ns-img-562.png	./next-theme/next-sass-html.vercel.app/images/ns-img-562.png	(from https://next-sass-html.vercel.app/)
17:06:19	684573/684573	---M--	200	added ('OK')	image/png	etag:%2260fccaaaefbc00191c4362840028fb44%22	https://next-sass-html.vercel.app/images/ns-img-563.png	./next-theme/next-sass-html.vercel.app/images/ns-img-563.png	(from https://next-sass-html.vercel.app/)
17:06:20	1598/1598	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2217fd6f49c9811401c01cf383d3709299%22	https://next-sass-html.vercel.app/images/ns-img-565.svg	./next-theme/next-sass-html.vercel.app/images/ns-img-565.svg	(from https://next-sass-html.vercel.app/)
17:06:20	486464/486464	---M--	200	added ('OK')	image/png	etag:%22919ad30a129e599d8b5b74be01ec8c3b%22	https://next-sass-html.vercel.app/images/ns-img-564.png	./next-theme/next-sass-html.vercel.app/images/ns-img-564.png	(from https://next-sass-html.vercel.app/)
17:06:20	416/416	---M--	200	added ('OK')	image/svg+xml	etag:%22d59b51b6202a5b47b326cdfaae7a4566%22	https://next-sass-html.vercel.app/images/ns-img-571.svg	./next-theme/next-sass-html.vercel.app/images/ns-img-571.svg	(from https://next-sass-html.vercel.app/)
17:06:21	2676/2676	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e175c15148312b46aca23057ed24b10a%22	https://next-sass-html.vercel.app/images/ns-img-566.svg	./next-theme/next-sass-html.vercel.app/images/ns-img-566.svg	(from https://next-sass-html.vercel.app/)
17:06:22	1656/1656	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b9f330201c72dc9b6b41a5f735eb700%22	https://next-sass-html.vercel.app/images/ns-img-567.svg	./next-theme/next-sass-html.vercel.app/images/ns-img-567.svg	(from https://next-sass-html.vercel.app/)
17:06:23	328/328	---M--	200	added ('OK')	image/svg+xml	etag:%22c4fc67b7f323158cf23b392618d603f7%22	https://next-sass-html.vercel.app/images/ns-img-568.svg	./next-theme/next-sass-html.vercel.app/images/ns-img-568.svg	(from https://next-sass-html.vercel.app/)
17:06:24	1459/1459	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2241fd6d3345c3b708e56f66449cfed2f0%22	https://next-sass-html.vercel.app/images/ns-img-569.svg	./next-theme/next-sass-html.vercel.app/images/ns-img-569.svg	(from https://next-sass-html.vercel.app/)
17:06:25	350/350	---M--	200	added ('OK')	image/svg+xml	etag:%222e8f9a2affe2c8d26664d0d3a0b60489%22	https://next-sass-html.vercel.app/images/ns-img-574.svg	./next-theme/next-sass-html.vercel.app/images/ns-img-574.svg	(from https://next-sass-html.vercel.app/)
17:06:26	3234/3234	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221950ff071815a28770cb0881fa603015%22	https://next-sass-html.vercel.app/images/ns-img-570.svg	./next-theme/next-sass-html.vercel.app/images/ns-img-570.svg	(from https://next-sass-html.vercel.app/)
17:06:27	519/519	---M--	200	added ('OK')	image/svg+xml	etag:%220d57145c08ccd815da38e263d504d30b%22	https://next-sass-html.vercel.app/images/ns-img-572.svg	./next-theme/next-sass-html.vercel.app/images/ns-img-572.svg	(from https://next-sass-html.vercel.app/)
17:06:29	8008/8008	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227d91830543074aafc76757dc9d429612%22	https://next-sass-html.vercel.app/images/ns-img-573.svg	./next-theme/next-sass-html.vercel.app/images/ns-img-573.svg	(from https://next-sass-html.vercel.app/)
17:06:31	485404/485404	---M--	200	added ('OK')	image/png	etag:%22759b97b1688cf6e538d54d2052411cdc%22	https://next-sass-html.vercel.app/images/ns-avatar-28.png	./next-theme/next-sass-html.vercel.app/images/ns-avatar-28.png	(from https://next-sass-html.vercel.app/)
17:06:32	629212/629212	---M--	200	added ('OK')	image/png	etag:%229ec0cd8c154008989ca9b4f7bb4911b1%22	https://next-sass-html.vercel.app/images/ns-avatar-29.png	./next-theme/next-sass-html.vercel.app/images/ns-avatar-29.png	(from https://next-sass-html.vercel.app/)
17:06:33	459439/459439	---M--	200	added ('OK')	image/png	etag:%226d4b709abed095455b24adb7c1e557ab%22	https://next-sass-html.vercel.app/images/ns-avatar-30.png	./next-theme/next-sass-html.vercel.app/images/ns-avatar-30.png	(from https://next-sass-html.vercel.app/)
17:06:34	632754/632754	---M--	200	added ('OK')	image/png	etag:%221bbb7c2d83472aa12897c859071f86a0%22	https://next-sass-html.vercel.app/images/ns-avatar-31.png	./next-theme/next-sass-html.vercel.app/images/ns-avatar-31.png	(from https://next-sass-html.vercel.app/)
17:06:35	785549/785549	---M--	200	added ('OK')	image/png	etag:%22b0ebab2a0abcbc420c5e6df06e0b7d21%22	https://next-sass-html.vercel.app/images/ns-avatar-33.png	./next-theme/next-sass-html.vercel.app/images/ns-avatar-33.png	(from https://next-sass-html.vercel.app/)
17:06:36	457979/457979	---M--	200	added ('OK')	image/png	etag:%227da57c0e6fc16441dd4d27ac3cae23a4%22	https://next-sass-html.vercel.app/images/ns-avatar-34.png	./next-theme/next-sass-html.vercel.app/images/ns-avatar-34.png	(from https://next-sass-html.vercel.app/)
17:06:37	598260/598260	---M--	200	added ('OK')	image/png	etag:%22fbaaa1d6945d552a2c6c06e9dc2eb27c%22	https://next-sass-html.vercel.app/images/ns-avatar-35.png	./next-theme/next-sass-html.vercel.app/images/ns-avatar-35.png	(from https://next-sass-html.vercel.app/)
17:06:38	16139/16139	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e5e3ed48bda889e1344cf33a99c62996%22	https://next-sass-html.vercel.app/images/badge/badge-6.svg	./next-theme/next-sass-html.vercel.app/images/badge/badge-6.svg	(from https://next-sass-html.vercel.app/)
17:06:38	722111/722111	---M--	200	added ('OK')	image/png	etag:%22577e4836557bdf6eba0a14c70aaf9033%22	https://next-sass-html.vercel.app/images/ns-avatar-36.png	./next-theme/next-sass-html.vercel.app/images/ns-avatar-36.png	(from https://next-sass-html.vercel.app/)
17:06:39	21763/21763	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a8e50f8e8644320d88bce03fdcdfa449%22	https://next-sass-html.vercel.app/images/badge/badge-7.svg	./next-theme/next-sass-html.vercel.app/images/badge/badge-7.svg	(from https://next-sass-html.vercel.app/)
17:06:40	25431/25431	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2234110d8ff6e8b46465083e4b3217a396%22	https://next-sass-html.vercel.app/images/badge/badge-8.svg	./next-theme/next-sass-html.vercel.app/images/badge/badge-8.svg	(from https://next-sass-html.vercel.app/)
17:06:41	26599/26599	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229a6111dc0cf5bb43620615fcc8078355%22	https://next-sass-html.vercel.app/images/badge/badge-9.svg	./next-theme/next-sass-html.vercel.app/images/badge/badge-9.svg	(from https://next-sass-html.vercel.app/)
17:06:42	18789/18789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b7333fa7d6c6a2c6b273db33aabd0cd5%22	https://next-sass-html.vercel.app/images/badge/badge-10.svg	./next-theme/next-sass-html.vercel.app/images/badge/badge-10.svg	(from https://next-sass-html.vercel.app/)
17:06:43	115069/115069	---MCZ	200	added ('OK')	text/html	etag:W/%2204cf7691dddc0ec3f8ef7716c5ecc39c%22	https://next-sass-html.vercel.app/financial-management-platform-blog-details.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-blog-details.html	(from https://next-sass-html.vercel.app/)
17:06:44	772538/772538	---M--	200	added ('OK')	image/png	etag:%22fba1f59b2c1e238f61b22022ea79f3d7%22	https://next-sass-html.vercel.app/images/ns-img-472.png	./next-theme/next-sass-html.vercel.app/images/ns-img-472.png	(from https://next-sass-html.vercel.app/)
17:06:45	292786/292786	---M--	200	added ('OK')	image/png	etag:%225527836325ed024ce23bc005992334f8%22	https://next-sass-html.vercel.app/images/ns-img-473.png	./next-theme/next-sass-html.vercel.app/images/ns-img-473.png	(from https://next-sass-html.vercel.app/)
17:06:47	7852/7852	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22999ce72abff22ac30ab182a1a5bbd154%22	https://next-sass-html.vercel.app/images/shared/dark-logo.svg	./next-theme/next-sass-html.vercel.app/images/shared/dark-logo.svg	(from https://next-sass-html.vercel.app/)
17:06:47	430261/430261	---M--	200	added ('OK')	image/png	etag:%22f65e9e44baa4b1213cd88ea267bf4944%22	https://next-sass-html.vercel.app/images/ns-img-474.png	./next-theme/next-sass-html.vercel.app/images/ns-img-474.png	(from https://next-sass-html.vercel.app/)
17:06:48	1125/1125	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22840e0a0c0d90c76cc6d0300cbba35e5c%22	https://next-sass-html.vercel.app/images/icons/facebook.svg	./next-theme/next-sass-html.vercel.app/images/icons/facebook.svg	(from https://next-sass-html.vercel.app/)
17:06:48	917/917	---M--	200	added ('OK')	image/svg+xml	etag:%22752be98a09275591f61601467a4ddfed%22	https://next-sass-html.vercel.app/images/icons/instagram.svg	./next-theme/next-sass-html.vercel.app/images/icons/instagram.svg	(from https://next-sass-html.vercel.app/)
